load_number,sample_number,concentration_ng_ul,a260_a280,a260_a230,quality_assessment,extraction_date,source_image
3,1,46.3,1.9,2.64,Unusually high 260/230,2025-06-06 12:00:29,image.png
3,2,37.4,1.88,2.33,Good quality,2025-06-06 12:00:29,image.png
